Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1987,0.772,0.576,9.016,10.697,88.527,79.788,121.975,94.681,126.62,119.206,37.989,34.288
1988,0,2.175,0,76.89,10.427,123.458,265.036,151.38,236.973,34.266,0.691,13.447
1989,0,0,17.359,61.261,27.67,121.127,271.601,61.093,135.028,42.186,3.943,2.647
1990,0.038,0,3.929,24.157,149.984,107.474,138.296,130.351,47.518,103.539,43.722,1.274
1991,0.028,0,0.211,87.059,64.677,133.264,210.73,129.674,148.518,86.34,23.666,0
1992,0,0,0,22.177,65.275,161.497,130.931,156.795,200.097,117.345,100.043,0
1993,0,0,13.88,27.499,44.81,112.453,230.509,118.167,54.909,173.695,7.791,24.746
1994,0.845,0.507,5.62,68.708,28.282,170.619,290.597,137.025,61.423,232.886,21.31,0.112
1995,2.177,0,6.496,20.357,73.305,79.565,178.775,89.789,131.379,230.458,21.412,0
1996,0,0.341,0,49.116,19.167,131.558,168.238,126.748,141.49,172.264,36.604,0.152
1997,1.911,0,8.996,58.346,18.998,152.751,181.71,195.594,32.936,112.767,72.733,43.319
1998,0,0.099,0,4.675,41.905,134.992,193.475,151.457,112.928,134.282,38.928,2.346
1999,0,0.058,0,6.645,97.744,121.036,199.924,64.655,54.807,220.88,3.246,0
2000,0,0.992,0,35.999,83.163,135.758,164.295,173.079,167.7,84.221,10.573,1.778
2001,0.59,0,8.633,22.148,13.978,116.249,88.123,107.461,85.276,127.964,35.715,1.391
2002,0.693,0.511,1.808,35.792,57.713,160.831,54.314,139.721,21.271,158.054,2.226,0.036
