Crop,Year,Rainfall,Temp,N,P,K,Yield
Sugarcane,1997,1533.245,25.68,22.02,90.04,16.47,120.65
Sugarcane,1998,2230.988, 25.21,22.02,90.04,16.47,120.65
Sugarcane,1999,1520.125,24.62,22.02,90.04,16.47,95.95
Sugarcane,2000,1645.762, 24.60,22.02,90.04,16.47,100.7
Sugarcane,2001,1329.86,24.93,22.02,90.04,16.47,82.65
Sugarcane,2002,1334.754,25.08,22.02,90.04,16.47,92.15
Sugarcane,2003,1482.25,24.38,22.02,90.04,16.47,87.4
Sugarcane,2004,1943.256,25.27,22.02,90.04,16.47,95
Sugarcane,2005,1976.86,22.92,22.02,90.04,16.47,82.65
Sugarcane,2006,1350.256,24.19,22.02,90.04,16.47,84.55
Sugarcane,2007,1453.256,26.56,22.02,90.04,16.47,104.5
Sugarcane,2008,1863.256,24.21,22.02,90.04,16.47,125.4
Sugarcane,2009,2202.32,25.68,22.02,90.04,16.47,74.1
Sugarcane,2010,1269.568,27.56,22.02,90.04,16.47,95
Sugarcane,2011,1197.256,26.65,22.02,90.04,16.47,83.6
Sugarcane,2012,1269.045,24.15,22.02,90.04,16.47,69.35
Sugarcane,2013,1510.214,25.23,22.02,90.04,16.47,110.2
Sugarcane,2014,1073.562,28.89,22.02,90.04,16.47,95
Sugarcane,2015,1161.235,27.56,22.02,90.04,16.47,83.6
Sugarcane,2016,1364.526,24.56,22.02,90.04,16.47,69.35
Sugarcane,2017,1533.245,25.68,22.02,90.04,16.47,110.2
Wheat,1997,1771.634,24.98,22.02,90.04,16.47,0.57
Wheat,1998,2230.988, 25.21,22.02,90.04,16.47,0.94
Wheat,1999,1520.125,24.62,22.02,90.04,16.47,0.47
Wheat,2000,1645.762, 24.60,22.02,90.04,16.47,0.5
Wheat,2001,1329.86,24.93,22.02,90.04,16.47,0.76
Wheat,2002,1334.754,25.08,22.02,90.04,16.47,0.17
Wheat,2003,1482.25,24.38,22.02,90.04,16.47,1
Wheat,2004,1943.256,25.27,22.02,90.04,16.47,1.5
Wheat,2005,1976.86,22.92,22.02,90.04,16.47,1.14
Wheat,2006,1350.256,24.19,22.02,90.04,16.47,1.2
Wheat,2007,1453.256,26.56,22.02,90.04,16.47,1.5
Wheat,2008,1863.256,24.21,22.02,90.04,16.47,1.11
Wheat,2009,2202.32,25.68,22.02,90.04,16.47,1
Wheat,2010,1269.568,27.56,22.02,90.04,16.47,0.5
Wheat,2011,1197.256,26.65,22.02,90.04,16.47,0.57
Wheat,2012,1269.045,24.15,22.02,90.04,16.47,0.94
Wheat,2013,1510.214,25.23,22.02,90.04,16.47,0.47
Wheat,2014,1073.562,28.89,22.02,90.04,16.47,0.5
Wheat,2015,1161.235,27.56,22.02,90.04,16.47,0.76
Wheat,2016,1364.526,24.56,22.02,90.04,16.47,0.17
Wheat,2017,1533.245,25.68,22.02,90.04,16.47,1
