Crop,Year,Rainfall,Temp,N,P ,K ,Yield
Cotton,2016,2042.951,27.65,28.97,73.84,54.4,2.66
Cotton,2017,1635.014,29.84,28.97,73.84,54.4,3.28
Groundnut,1997,2015.932,25.84,28.97,73.84,54.4,0.77
Groundnut,1998,1737.503,26.06,28.97,73.84,54.4,0.84
Groundnut,1999,1622.36,25.58,28.97,73.84,54.4,0.83
Groundnut,2000,1628.754,25.6,28.97,73.84,54.4,0.96
Groundnut,2001,1134.703,25.8,28.97,73.84,54.4,0.74
Groundnut,2002,1334.194, 26.11,28.97,73.84,54.4,0.61
Groundnut,2003,2068.896,25.23,28.97,73.84,54.4,0.66
Groundnut,2004,1834.359,26.6,28.97,73.84,54.4,0.55
Groundnut,2005,1224.952,24.94,28.97,73.84,54.4,0.46
Groundnut,2006,1750.977,25.18,28.97,73.84,54.4,0.47
Groundnut,2007,1719.052,26.23,28.97,73.84,54.4,0.65
Groundnut,2008,2083.291,28.8,28.97,73.84,54.4,0.58
Groundnut,2009,1682.053,24.3,28.97,73.84,54.4,0.55
Groundnut,2010,2056.684,25.19,28.97,73.84,54.4,0.76
Groundnut,2011,1836.464,27.99,28.97,73.84,54.4,0.85
Groundnut,2012,1752.294,24.52,28.97,73.84,54.4,0.71
Groundnut,2013,2042.12,28.97,28.97,73.84,54.4,1
Groundnut,2014,1926.984,26.57,28.97,73.84,54.4,0.92
Groundnut,2015,1826.553,24.23,28.97,73.84,54.4,0.49
Groundnut,2016,2042.951,27.65,28.97,73.84,54.4,0.93
Groundnut,2017,1635.014,29.84,28.97,73.84,54.4,1.22
Jowar,1997,2015.932,25.84,28.97,73.84,54.4,1.23
Jowar,1998,1737.503,26.06,28.97,73.84,54.4,1.59
Jowar,1999,1622.36,25.58,28.97,73.84,54.4,1.56
Jowar,2000,1628.754,25.6,28.97,73.84,54.4,1.31
Jowar,2001,1134.703,25.8,28.97,73.84,54.4,1.2
Jowar,2002,1334.194, 26.11,28.97,73.84,54.4,1.37
Jowar,2003,2068.896,25.23,28.97,73.84,54.4,0.91
Jowar,2004,1834.359,26.6,28.97,73.84,54.4,1.52
Jowar,2005,1224.952,24.94,28.97,73.84,54.4,1.33
Jowar,2006,1750.977,25.18,28.97,73.84,54.4,1.34
Jowar,2007,1719.052,26.23,28.97,73.84,54.4,1.98
Jowar,2008,2083.291,28.8,28.97,73.84,54.4,1.59
Jowar,2009,1682.053,24.3,28.97,73.84,54.4,1.25
Jowar,2010,2056.684,25.19,28.97,73.84,54.4,1.98
Jowar,2011,1836.464,27.99,28.97,73.84,54.4,1.59
Jowar,2012,1752.294,24.52,28.97,73.84,54.4,1.12
Jowar,2013,2042.12,28.97,28.97,73.84,54.4,1.19
Jowar,2014,1926.984,26.57,28.97,73.84,54.4,1.37
Jowar,2015,1826.553,24.23,28.97,73.84,54.4,0.76
Jowar,2016,2042.951,27.65,28.97,73.84,54.4,1.46
Jowar,2017,1635.014,29.84,28.97,73.84,54.4,2.34
Rice,1997,2015.932,25.84,28.97,73.84,54.4,1.44
Rice,1998,1737.503,26.06,28.97,73.84,54.4,1.82
Rice,1999,1622.36,25.58,28.97,73.84,54.4,1.89
Rice,2000,1628.754,25.6,28.97,73.84,54.4,1.65
Rice,2001,1134.703,25.8,28.97,73.84,54.4,0.89
