Crop,Year,Rainfall,Temp,N,P ,K ,Yield
Wheat,2002,925.145, 25.87,88.2,70.61,98.97,0.22
Wheat,2003,1282.365,22.87,88.2,70.61,98.97,0.67
Wheat,2004,1161.556,24.36,88.2,70.61,98.97,0.87
Wheat,2005,865.565,26.9,88.2,70.61,98.97,0.56
Wheat,2006,1531.564,28.45,88.2,70.61,98.97,0.82
Wheat,2007,1418.256,25.69,88.2,70.61,98.97,0.66
Wheat,2008,1049.565,24.25,88.2,70.61,98.97,0.49
Wheat,2009,1478.245,24.57,88.2,70.61,98.97,0.74
Wheat,2010,1380.457,26.89,88.2,70.61,98.97,0.33
Wheat,2011,914.478,23.77,88.2,70.61,98.97,0.65
Wheat,2012,1468.154,22.45,88.2,70.61,98.97,0.86
Wheat,2013,1110.234,26.87,88.2,70.61,98.97,1.08
Wheat,2014,1468.568,24.21,88.2,70.61,98.97,0.67
Wheat,2015,1101.456,28.56,88.2,70.61,98.97,0.28
Wheat,2016,1731.245,25.65,88.2,70.61,98.97,0.54
Wheat,2017,1296.854,24.78,88.2,70.61,98.97,0.54
