Crop,Year,Rainfall,Temp,N,P ,K ,Yield
Jowar,2015,3493.256,28.6,89.49,22.5,8.22,0.93
Jowar,2016,2787.154,27.86,89.49,22.5,8.22,0.82
Jowar,2017,2984.321,26.95,89.49,22.5,8.22,1.42
Rice,1997,2884.676,25.63,89.49,22.5,8.22,2.89
Rice,1998,3595.758,25.82,89.49,22.5,8.22,3.04
Rice,1999,2380.598, 25.30,89.49,22.5,8.22,2.85
Rice,2000,2551.345, 25.25,89.49,22.5,8.22,2.97
Rice,2001,2187.089,25.57,89.49,22.5,8.22,3.15
Rice,2002,2242.378,25.76,89.49,22.5,8.22,2.7
Rice,2003,3007.868,26.27,89.49,22.5,8.22,3.01
Rice,2004,2542.588,26.34,89.49,22.5,8.22,3.35
Rice,2005,2509.262,25.15,89.49,22.5,8.22,2.97
Rice,2006,2764.769,24.58,89.49,22.5,8.22,2.78
Rice,2007,2029.405,23.56,89.49,22.5,8.22,3.01
Rice,2008,2472.548,26.39,89.49,22.5,8.22,3.09
Rice,2009,2414.977,24.95,89.49,22.5,8.22,3.15
Rice,2010,2539.619,24.68,89.49,22.5,8.22,3.26
Rice,2011,2825.164,28.36,89.49,22.5,8.22,3.14
Rice,2012,2362.213,26.84,89.49,22.5,8.22,3.39
Rice,2013,1845.256,24.16,89.49,22.5,8.22,3.38
Rice,2014,1786.835,25.5,89.49,22.5,8.22,2.89
Rice,2015,3493.256,28.6,89.49,22.5,8.22,3.06
Rice,2016,2787.154,27.86,89.49,22.5,8.22,3.09
Rice,2017,2984.321,26.95,89.49,22.5,8.22,3.15
Soyabean,1997,2884.676,25.63,89.49,22.5,8.22,1.13
Soyabean,1998,3595.758,25.82,89.49,22.5,8.22,0.94
Soyabean,1999,2380.598, 25.30,89.49,22.5,8.22,1.05
Soyabean,2000,2551.345, 25.25,89.49,22.5,8.22,0.84
Soyabean,2001,2187.089,25.57,89.49,22.5,8.22,0.61
Soyabean,2002,2242.378,25.76,89.49,22.5,8.22,0.55
Soyabean,2003,3007.868,26.27,89.49,22.5,8.22,0.74
Soyabean,2004,2542.588,26.34,89.49,22.5,8.22,0.81
Soyabean,2005,2509.262,25.15,89.49,22.5,8.22,0.71
Soyabean,2006,2764.769,24.58,89.49,22.5,8.22,1.13
Soyabean,2007,2029.405,23.56,89.49,22.5,8.22,0.94
Soyabean,2008,2472.548,26.39,89.49,22.5,8.22,1.05
Soyabean,2009,2414.977,24.95,89.49,22.5,8.22,0.84
Soyabean,2010,2539.619,24.68,89.49,22.5,8.22,0.61
Soyabean,2011,2825.164,28.36,89.49,22.5,8.22,0.55
Soyabean,2012,2362.213,26.84,89.49,22.5,8.22,0.74
Soyabean,2013,1845.256,24.16,89.49,22.5,8.22,0.81
Soyabean,2014,1786.835,25.5,89.49,22.5,8.22,0.71
Soyabean,2015,3493.256,28.6,89.49,22.5,8.22,0.74
Soyabean,2016,2787.154,27.86,89.49,22.5,8.22,0.81
Sugarcane,1997,2984.321,26.95,89.49,22.5,8.22,106.4
Sugarcane,1998,3595.758,25.82,89.49,22.5,8.22,115.9
Sugarcane,1999,2380.598, 25.30,89.49,22.5,8.22,77.9
Sugarcane,2000,2551.345, 25.25,89.49,22.5,8.22,89.3
Sugarcane,2001,2187.089,25.57,89.49,22.5,8.22,103.55
Sugarcane,2002,2242.378,25.76,89.49,22.5,8.22,127.3
Sugarcane,2003,3007.868,26.27,89.49,22.5,8.22,113.05
Sugarcane,2004,2542.588,26.34,89.49,22.5,8.22,142.5
Sugarcane,2005,2509.262,25.15,89.49,22.5,8.22,117.8
Sugarcane,2006,2764.769,24.58,89.49,22.5,8.22,114
Sugarcane,2007,2029.405,23.56,89.49,22.5,8.22,106.4
Sugarcane,2008,2472.548,26.39,89.49,22.5,8.22,111.15
Sugarcane,2009,2414.977,24.95,89.49,22.5,8.22,103.55
Sugarcane,2010,2539.619,24.68,89.49,22.5,8.22,83.6
Sugarcane,2011,2825.164,28.36,89.49,22.5,8.22,85.5
Sugarcane,2012,2362.213,26.84,89.49,22.5,8.22,91.2
Sugarcane,2013,1845.256,24.16,89.49,22.5,8.22,99.75
Sugarcane,2014,1786.835,25.5,89.49,22.5,8.22,122.55
Sugarcane,2015,3493.256,28.6,89.49,22.5,8.22,106.4
Sugarcane,2016,2787.154,27.86,89.49,22.5,8.22,111.15
Sugarcane,2017,2984.321,26.95,89.49,22.5,8.22,103.55
