Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1984,24.153,25.397,27.933,29.696,30.889,26.347,24.827,24.86,25.392,24.924,23.809,24.098
1985,24.492,26.152,28.449,29.873,29.313,26.256,25.216,24.985,26.216,24.997,24.572,24.397
1986,22.587,25.397,29.109,30.759,29.857,26.766,25.722,24.856,25.927,26.755,25.07,23.975
1987,23.833,24.849,28.066,30.798,29.599,27.419,26.033,25.553,26.642,25.525,24.267,22.966
1988,23.3,26.664,29.108,29.859,30.151,27.417,25.206,24.933,25.108,26.153,24.573,22.945
1989,23.299,25.558,27.248,30.195,30.081,26.334,25.13,24.856,25.194,26.301,24.393,23.02
1990,23.569,24.97,27.559,30.524,27.907,25.956,24.812,24.525,25.364,25.468,24.237,23.248
1991,24.228,25.965,29.405,29.511,29.893,26.592,24.549,24.762,26.041,25.666,24.138,22.653
1992,22.312,25.121,28.715,30.456,29.422,27.118,25.681,24.79,26.286,25.417,24.56,21.81
1993,23.341,24.556,27.557,30.575,29.907,27.702,25.499,25.064,25.249,25.409,24.478,21.862
1994,23.432,25.023,29.172,29.064,30.399,26.639,24.808,24.875,26.123,25.067,23.282,21.979
1995,22.094,25.667,28.464,30.856,29.192,28.281,25.447,25.995,25.942,25.568,24.996,23.503
1996,24.294,25.853,29.441,30.089,30.306,27.278,25.859,24.685,25.253,24.649,24.571,22.514
1997,22.712,24.634,28.372,28.692,29.908,27.867,25.699,25.216,25.893,26.212,25.465,24.435
1998,24.327,25.731,29.126,31.141,30.582,28.443,25.873,25.59,25.644,25.429,24.404,22.298
1999,22.598,26.262,29.013,30.442,28.883,26.122,25.199,25.11,25.374,25.608,24.304,22.661
2000,24.059,25.254,28.013,30.533,29.018,26.122,24.808,24.989,25.79,25.782,24.567,22.558
2001,23.853,26.522,28.103,30.167,30.12,26.778,25.512,24.878,26.077,25.221,25.083,23.055
2002,23.394,26.15,29.478,30.745,30.09,26.978,25.812,24.918,25.93,26.056,24.359,23.453
