Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,23.891,25.21,27.574,27.74,28.467,26.405,24.44,24.408,25.402,25.647,25.312,23.219
1992,23.32,24.139,27.736,28.486,28.346,26.513,25.49,24.773,25.443,25.381,25.468,23.093
1993,23.914,23.861,25.797,28.586,28.834,26.636,24.706,24.721,24.66,25.808,25.447,23.344
1994,23.791,24.269,27.705,27.559,28.699,25.45,24.395,24.65,24.8,25.394,24.406,23.221
1995,22.387,25.056,26.982,28.909,27.973,27.416,25.282,25.719,25.329,25.89,25.45,24.526
1996,24.462,25.498,27.996,28.445,29.141,26.549,25.148,24.773,25.119,24.782,25.309,23.712
1997,22.993,23.615,27.063,27.3,28.833,26.843,25.128,24.784,25.584,26.557,26.34,25.619
1998,24.305,24.429,27.511,29.382,29.217,27.473,25.235,25.537,25.377,25.505,25.234,23.521
1999,22.669,25.816,27.511,28.495,28.068,25.28,24.729,24.942,25.069,25.798,25.234,23.734
2000,24.399,24.029,26.54,28.594,28.07,25.738,24.423,24.928,25.606,25.804,25.446,23.72
2001,24.1,25.545,26.187,28.569,28.715,26.288,24.921,24.714,25.554,25.398,26.062,24.227
2002,23.569,25.647,28.169,28.859,28.916,26.395,25.198,24.83,25.541,26.332,25.657,24.663
