Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1989,23.798,24.677,26.223,28.781,28.944,25.43,24.534,24.19,24.812,25.541,24.963,23.913
1990,23.691,24.068,25.964,28.775,27.738,25.201,24.195,23.84,24.783,25.793,25.047,24.144
1991,23.514,24.971,27.451,28.2,28.864,26.205,24.103,24.455,25.44,25.993,25.333,22.958
1992,22.906,23.585,27.568,28.694,28.886,26.729,25.411,24.604,25.549,25.788,25.407,22.91
1993,23.771,23.892,25.914,28.894,29.224,26.924,24.596,24.53,24.689,25.747,25.482,22.887
1994,23.559,24.113,28.048,27.849,29.131,25.531,24.266,24.607,25.055,25.58,24.46,22.821
1995,21.703,24.676,26.936,29.226,28.221,27.808,25.09,25.71,25.418,25.875,24.947,24.213
1996,24.17,25.481,28.252,28.859,29.517,26.859,24.997,24.676,25.125,25.039,25.046,23.601
1997,22.642,23.371,27.299,27.569,29.002,26.755,24.956,24.554,25.49,26.645,26.392,25.51
1998,24.147,24.285,27.62,29.787,29.745,27.563,25.124,25.322,25.36,25.677,25.069,23.021
1999,22.353,25.836,27.797,29.088,28.411,25.344,24.493,24.677,24.809,25.8,24.998,23.408
2000,24.143,23.934,26.662,29.198,28.371,25.801,24.181,24.749,25.54,26.099,25.28,23.311
2001,23.888,25.332,26.383,28.934,29.071,26.219,24.556,24.469,25.541,25.509,25.833,23.953
2002,23.095,25.737,28.329,29.41,29.36,26.396,25.007,24.455,25.371,26.506,25.392,24.311
